Order ID,Ship Mode,Customer ID,Region,Segment,Category,Sub-Category,Product Name,Product ID,Quantity,Revenue,Discount,Profit
CA-2013-152156,Second Class,CG-12520,South,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase,FUR-BO-10001798,2,261.96,0,41.9136
CA-2013-152156,Second Class,CG-12520,South,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454,3,731.94,0,219.582
CA-2013-138688,Second Class,DV-13045,West,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,OFF-LA-10000240,2,14.62,0,6.8714
US-2012-108966,Standard Class,SO-20335,South,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577,5,957.5775,0.45,-383.031
US-2012-108966,Standard Class,SO-20335,South,Consumer,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,OFF-ST-10000760,2,22.368,0.2,2.5164
CA-2011-115812,Standard Class,BH-11710,West,Consumer,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",FUR-FU-10001487,7,48.86,0,14.1694
CA-2011-115812,Standard Class,BH-11710,West,Consumer,Office Supplies,Art,Newell 322,OFF-AR-10002833,4,7.28,0,1.9656
CA-2011-115812,Standard Class,BH-11710,West,Consumer,Technology,Phones,Mitel 5320 IP Phone VoIP phone,TEC-PH-10002275,6,907.152,0.2,90.7152
CA-2011-115812,Standard Class,BH-11710,West,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,OFF-BI-10003910,3,18.504,0.2,5.7825
CA-2011-115812,Standard Class,BH-11710,West,Consumer,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,OFF-AP-10002892,5,114.9,0,34.47
CA-2011-115812,Standard Class,BH-11710,West,Consumer,Furniture,Tables,Chromcraft Rectangular Conference Tables,FUR-TA-10001539,9,1706.184,0.2,85.3092
CA-2011-115812,Standard Class,BH-11710,West,Consumer,Technology,Phones,Konftel 250 Conference phone - Charcoal black,TEC-PH-10002033,4,911.424,0.2,68.3568
CA-2014-114412,Standard Class,AA-10480,South,Consumer,Office Supplies,Paper,Xerox 1967,OFF-PA-10002365,3,15.552,0.2,5.4432
